Time,Upper_Arm_Length,Upper_Arm_Phi,Upper_Arm_Theta,Forearm_Arm_Length,Forearm_Phi,Forearm_Theta,Hand_Arm_Length,Hand_Phi,Hand_Theta
3.90700006484985,2,88.6146947294312,-57.917750199282,1.5,88.6146947294312,-57.917750199282,0.5,88.6146947294312,-57.917750199282
4.00600004196167,2,88.4618270597534,-57.8927107257848,1.5,88.4618270597534,-57.8927107257848,0.5,88.4618270597534,-57.8927107257848
4.10599994659424,2,88.7238859220581,-57.9154620859101,1.5,88.7238859220581,-57.9154620859101,0.5,88.7238859220581,-57.9154620859101
4.20700001716614,2,88.439988821228,-57.9251063130181,1.5,88.439988821228,-57.9251063130181,0.5,88.439988821228,-57.9251063130181
4.30699992179871,2,88.6365329679566,-57.9907171101853,1.5,88.6365329679566,-57.9907171101853,0.5,88.6365329679566,-57.9907171101853
4.40700006484985,2,88.5710182523804,-58.117697157045,1.5,88.5710182523804,-58.117697157045,0.5,88.5710182523804,-58.117697157045
4.50800013542175,2,88.8549153532105,-58.0592512283172,1.5,88.8549153532105,-58.0592512283172,0.5,88.8549153532105,-58.0592512283172
4.60800004005432,2,88.8330771146851,-57.9513683903768,1.5,88.8330771146851,-57.9513683903768,0.5,88.8330771146851,-57.9513683903768
4.70799994468689,2,88.6583712064819,-57.9716608824009,1.5,88.6583712064819,-57.9716608824009,0.5,88.6583712064819,-57.9716608824009
4.80800008773804,2,88.3526358671265,-57.9247989545055,1.5,88.3526358671265,-57.9247989545055,0.5,88.3526358671265,-57.9247989545055
4.90799999237061,2,88.7457241605835,-57.8534439682464,1.5,88.7457241605835,-57.8534439682464,0.5,88.7457241605835,-57.8534439682464
5.00800013542175,2,88.3526358671265,-57.8948144240491,1.5,88.3526358671265,-57.8948144240491,0.5,88.3526358671265,-57.8948144240491
5.10899996757507,2,88.439988821228,-57.7197908265675,1.5,88.439988821228,-57.7197908265675,0.5,88.439988821228,-57.7197908265675
5.21099996566772,2,88.6583712064819,-57.6875045223609,1.5,88.6583712064819,-57.6875045223609,0.5,88.6583712064819,-57.6875045223609
5.30900001525879,2,88.3963123441773,-57.6529232745931,1.5,88.3963123441773,-57.6529232745931,0.5,88.3963123441773,-57.6529232745931
5.40899991989136,2,88.549180013855,-57.6895945602469,1.5,88.549180013855,-57.6895945602469,0.5,88.549180013855,-57.6895945602469
5.5090000629425,2,88.3089593900757,-57.7734487926872,1.5,88.3089593900757,-57.7734487926872,0.5,88.3089593900757,-57.7734487926872
5.60899996757507,2,88.6365329679566,-57.8090613990196,1.5,88.6365329679566,-57.8090613990196,0.5,88.6365329679566,-57.8090613990196
5.71000003814697,2,88.7457241605835,-57.7862212464351,1.5,88.7457241605835,-57.7862212464351,0.5,88.7457241605835,-57.7862212464351
5.81200003623962,2,88.6146947294312,-57.8150446447325,1.5,88.6146947294312,-57.8150446447325,0.5,88.6146947294312,-57.8150446447325
5.91000008583069,2,88.4836652982788,-57.8049906062743,1.5,88.4836652982788,-57.8049906062743,0.5,88.4836652982788,-57.8049906062743
6.00999999046326,2,88.6146947294312,-57.8298593250423,1.5,88.6146947294312,-57.8298593250423,0.5,88.6146947294312,-57.8298593250423
6.1100001335144,2,88.5055035368042,-57.8250235511099,1.5,88.5055035368042,-57.8250235511099,0.5,88.5055035368042,-57.8250235511099
6.21000003814697,2,88.7457241605835,-57.9064257456381,1.5,88.7457241605835,-57.9064257456381,0.5,88.7457241605835,-57.9064257456381
6.30999994277954,2,88.5055035368042,-57.8550968740255,1.5,88.5055035368042,-57.8550968740255,0.5,88.5055035368042,-57.8550968740255
6.41000008583069,2,88.8112388761597,-57.9757385053354,1.5,88.8112388761597,-57.9757385053354,0.5,88.8112388761597,-57.9757385053354
6.50999999046326,2,88.3526358671265,-57.9947332614172,1.5,88.3526358671265,-57.9947332614172,0.5,88.3526358671265,-57.9947332614172
6.61100006103516,2,88.8330771146851,-58.0563142469741,1.5,88.8330771146851,-58.0563142469741,0.5,88.8330771146851,-58.0563142469741
6.71099996566772,2,88.6583712064819,-58.0231058672295,1.5,88.6583712064819,-58.0231058672295,0.5,88.6583712064819,-58.0231058672295
6.80999994277954,2,88.8112388761597,-58.0709445121762,1.5,88.8112388761597,-58.0709445121762,0.5,88.8112388761597,-58.0709445121762
6.91100001335144,2,88.4618270597534,-57.9901502044842,1.5,88.4618270597534,-57.9901502044842,0.5,88.4618270597534,-57.9901502044842
7.00999999046326,2,88.8549153532105,-57.9923973367211,1.5,88.8549153532105,-57.9923973367211,0.5,88.8549153532105,-57.9923973367211
7.1100001335144,2,88.549180013855,-58.0006208844818,1.5,88.549180013855,-58.0006208844818,0.5,88.549180013855,-58.0006208844818
7.21099996566772,2,88.5710182523804,-57.8733198187311,1.5,88.5710182523804,-57.8733198187311,0.5,88.5710182523804,-57.8733198187311
7.31100010871887,2,88.5273417753296,-57.9780812602207,1.5,88.5273417753296,-57.9780812602207,0.5,88.5273417753296,-57.9780812602207
7.41100001335144,2,88.3089593900757,-58.1080460997478,1.5,88.3089593900757,-58.1080460997478,0.5,88.3089593900757,-58.1080460997478
7.51200008392334,2,88.8112388761597,-58.2137774280995,1.5,88.8112388761597,-58.2137774280995,0.5,88.8112388761597,-58.2137774280995
7.61199998855591,2,88.7238859220581,-58.1710545948411,1.5,88.7238859220581,-58.1710545948411,0.5,88.7238859220581,-58.1710545948411
7.71399998664856,2,88.8549153532105,-58.1089613450965,1.5,88.8549153532105,-58.1089613450965,0.5,88.8549153532105,-58.1089613450965
7.81299996376038,2,88.4836652982788,-58.1512880273831,1.5,88.4836652982788,-58.1512880273831,0.5,88.4836652982788,-58.1512880273831
7.91300010681152,2,88.2871211515503,-58.1353053847253,1.5,88.2871211515503,-58.1353053847253,0.5,88.2871211515503,-58.1353053847253
8.01500010490417,2,88.8985918302612,-58.0995561746094,1.5,88.8985918302612,-58.0995561746094,0.5,88.8985918302612,-58.0995561746094
8.11299991607666,2,88.549180013855,-58.0574548885655,1.5,88.549180013855,-58.0574548885655,0.5,88.549180013855,-58.0574548885655
8.21300005912781,2,88.3307976286011,-58.0987911934224,1.5,88.3307976286011,-58.0987911934224,0.5,88.3307976286011,-58.0987911934224
8.31299996376038,2,88.5055035368042,-58.0838467395184,1.5,88.5055035368042,-58.0838467395184,0.5,88.5055035368042,-58.0838467395184
8.41600012779236,2,88.7020476835327,-58.232676561533,1.5,88.7020476835327,-58.232676561533,0.5,88.7020476835327,-58.232676561533
8.51399993896484,2,88.6365329679566,-58.2706797340749,1.5,88.6365329679566,-58.2706797340749,0.5,88.6365329679566,-58.2706797340749
8.61400008201599,2,88.8549153532105,-58.3080203782674,1.5,88.8549153532105,-58.3080203782674,0.5,88.8549153532105,-58.3080203782674
8.71499991416931,2,88.9204300687866,-58.2816763386386,1.5,88.9204300687866,-58.2816763386386,0.5,88.9204300687866,-58.2816763386386
8.81400012969971,2,88.6802094450073,-58.2223493155079,1.5,88.6802094450073,-58.2223493155079,0.5,88.6802094450073,-58.2223493155079
8.91499996185303,2,88.6583712064819,-58.2422319961818,1.5,88.6583712064819,-58.2422319961818,0.5,88.6583712064819,-58.2422319961818
9.01500010490417,2,88.7894006376343,-58.2226225230747,1.5,88.7894006376343,-58.2226225230747,0.5,88.7894006376343,-58.2226225230747
9.11500000953674,2,88.6365329679566,-58.2235787495585,1.5,88.6365329679566,-58.2235787495585,0.5,88.6365329679566,-58.2235787495585
9.21499991416931,2,88.7238859220581,-61.6107515212379,1.5,88.7238859220581,-61.6107515212379,0.5,88.7238859220581,-61.6107515212379
9.31599998474121,2,88.5928564909058,-60.6556178677033,1.5,88.5928564909058,-60.6556178677033,0.5,88.5928564909058,-60.6556178677033
9.41600012779236,2,88.2871211515503,-60.9886169104981,1.5,88.2871211515503,-60.9886169104981,0.5,88.2871211515503,-60.9886169104981
14.904000043869,2,88.5928564909058,-60.9331626046268,1.5,88.5928564909058,-60.9331626046268,0.5,88.5928564909058,-60.9331626046268
15.0039999485016,2,88.439988821228,-60.3728412058756,1.5,88.439988821228,-60.3728412058756,0.5,88.439988821228,-60.3728412058756
15.1040000915527,2,88.2871211515503,-60.9328962272491,1.5,88.2871211515503,-60.9328962272491,0.5,88.2871211515503,-60.9328962272491
15.2039999961853,2,89.0077830228882,-60.5593395211628,1.5,89.0077830228882,-60.5593395211628,0.5,89.0077830228882,-60.5593395211628
15.3050000667572,2,88.6802094450073,-60.5376673309263,1.5,88.6802094450073,-60.5376673309263,0.5,88.6802094450073,-60.5376673309263
15.4049999713898,2,88.7238859220581,-60.4456646828063,1.5,88.7238859220581,-60.4456646828063,0.5,88.7238859220581,-60.4456646828063
15.5050001144409,2,88.2871211515503,-59.6640110040008,1.5,88.2871211515503,-59.6640110040008,0.5,88.2871211515503,-59.6640110040008
